User_index,Segment_index,Segment,User,Label,MaliciousCommandsCount,Diff commands,Avg_commands_length,Seq_of_commands_repeated_3
0,0,0,0,0,16,18,2,7
0,1,1,0,0,17,18,3,8
0,2,2,0,0,26,29,3,5
0,3,3,0,0,21,24,2,5
0,4,4,0,0,17,24,2,0
0,5,5,0,0,28,34,2,5
0,6,6,0,0,20,22,2,5
0,7,7,0,0,18,22,2,13
0,8,8,0,0,11,15,2,24
0,9,9,0,0,9,13,1,15
0,10,10,0,0,11,15,1,10
0,11,11,0,0,33,35,2,0
0,12,12,0,0,31,31,2,0
0,13,13,0,0,24,24,2,0
0,14,14,0,0,12,12,3,22
0,15,15,0,0,31,31,2,0
0,16,16,0,0,37,41,2,0
0,17,17,0,0,26,28,2,18
0,18,18,0,0,22,26,2,13
0,19,19,0,0,22,28,2,13
0,20,20,0,0,22,26,2,7
0,21,21,0,0,22,24,2,0
0,22,22,0,0,27,29,3,7
0,23,23,0,0,9,9,2,4
0,24,24,0,0,14,14,2,4
0,25,25,0,0,15,15,3,9
0,26,26,0,0,17,18,3,4
0,27,27,0,0,23,26,3,12
0,28,28,0,0,17,21,2,14
0,29,29,0,0,11,15,2,18
0,30,30,0,0,22,29,2,12
0,31,31,0,0,12,12,2,3
0,32,32,0,0,9,9,2,12
0,33,33,0,0,12,15,2,4
0,34,34,0,0,11,15,2,11
0,35,35,0,0,33,35,3,0
0,36,36,0,0,6,8,1,14
0,37,37,0,0,7,9,1,8
0,38,38,0,0,24,28,2,0
0,39,39,0,0,17,19,3,6
0,40,40,0,0,32,33,2,7
0,41,41,0,0,20,27,2,6
0,42,42,0,0,19,22,2,10
0,43,43,0,0,26,29,3,5
0,44,44,0,0,22,27,2,0
0,45,45,0,0,20,21,2,3
0,46,46,0,0,5,5,2,5
0,47,47,0,0,28,29,3,5
0,48,48,0,0,10,11,2,1
0,49,49,0,0,15,16,2,2
0,50,50,0,0,15,15,2,1
0,51,51,0,0,33,34,2,5
0,52,52,0,0,31,34,3,0
0,53,53,0,0,21,22,3,12
0,54,54,0,0,47,48,3,0
0,55,55,0,0,20,20,3,9
0,56,56,0,0,19,19,3,17
0,57,57,0,0,42,42,3,0
0,58,58,0,0,38,42,3,0
0,59,59,0,0,42,43,2,0
0,60,60,0,0,38,39,3,5
0,61,61,0,0,9,14,2,8
0,62,62,0,0,28,35,2,0
0,63,63,0,0,23,26,3,5
0,64,64,0,1,4,4,4,1
0,65,65,0,0,15,18,3,9
0,66,66,0,0,31,36,3,0
0,67,67,0,0,23,26,3,0
0,68,68,0,0,24,28,3,0
0,69,69,0,0,27,28,3,6
0,70,70,0,0,33,34,2,0
0,71,71,0,1,4,4,4,1
0,72,72,0,0,32,33,3,0
0,73,73,0,0,33,37,3,0
0,74,74,0,0,27,30,3,0
0,75,75,0,0,34,35,2,0
0,76,76,0,0,20,21,3,5
0,77,77,0,0,14,15,2,6
0,78,78,0,1,4,4,4,3
0,79,79,0,0,16,16,2,6
0,80,80,0,0,21,22,2,2
0,81,81,0,0,17,21,2,6
0,82,82,0,0,33,37,3,0
0,83,83,0,0,35,35,2,0
0,84,84,0,0,35,37,2,0
0,85,85,0,0,35,38,2,0
0,86,86,0,0,30,31,3,7
0,87,87,0,0,25,31,3,0
0,88,88,0,0,20,24,3,3
0,89,89,0,0,16,20,2,19
0,90,90,0,0,28,32,3,0
0,91,91,0,0,35,36,2,0
0,92,92,0,0,32,34,3,0
0,93,93,0,0,14,19,2,21
0,94,94,0,0,15,19,4,11
0,95,95,0,0,30,34,3,0
0,96,96,0,0,15,15,4,8
0,97,97,0,0,26,28,3,1
0,98,98,0,0,19,24,2,0
0,99,99,0,0,11,15,2,11
0,100,100,0,0,18,19,2,9
0,101,101,0,0,12,16,2,19
0,102,102,0,1,3,3,4,1
0,103,103,0,0,18,22,2,0
0,104,104,0,0,15,19,2,25
0,105,105,0,0,15,17,2,4
0,106,106,0,1,23,23,3,4
0,107,107,0,0,10,11,2,11
0,108,108,0,0,8,9,2,4
0,109,109,0,0,21,24,2,4
0,110,110,0,0,21,23,3,6
0,111,111,0,0,6,9,2,3
0,112,112,0,0,13,17,2,3
0,113,113,0,0,19,25,2,7
0,114,114,0,0,14,20,2,1
0,115,115,0,1,23,23,3,0
0,116,116,0,1,25,25,4,5
0,117,117,0,0,16,22,2,5
0,118,118,0,0,15,19,2,7
0,119,119,0,0,8,12,2,13
0,120,120,0,0,8,12,2,12
0,121,121,0,0,14,21,2,5
0,122,122,0,0,22,27,3,0
0,123,123,0,0,15,20,2,5
0,124,124,0,0,29,36,2,0
0,125,125,0,0,26,28,3,6
0,126,126,0,1,34,34,3,0
0,127,127,0,0,21,23,2,6
0,128,128,0,0,31,38,2,0
0,129,129,0,0,25,26,2,7
0,130,130,0,0,42,47,2,5
0,131,131,0,0,40,40,2,0
0,132,132,0,0,20,23,2,0
0,133,133,0,0,40,42,2,0
0,134,134,0,0,38,40,2,0
0,135,135,0,1,19,19,4,2
0,136,136,0,0,31,35,3,0
0,137,137,0,0,12,13,2,10
0,138,138,0,0,11,12,2,17
0,139,139,0,0,13,14,2,9
0,140,140,0,0,38,39,3,0
0,141,141,0,0,34,35,2,0
0,142,142,0,0,31,31,2,0
0,143,143,0,1,13,13,3,5
0,144,144,0,0,21,22,2,6
0,145,145,0,0,30,30,3,11
0,146,146,0,0,28,29,2,0
0,147,147,0,0,27,28,3,0
0,148,148,0,0,14,15,2,1
0,149,149,0,0,33,34,2,0
1,0,0,1,0,23,23,3,0
1,1,1,1,0,38,38,3,0
1,2,2,1,0,36,36,3,0
1,3,3,1,0,33,33,2,0
1,4,4,1,0,37,37,3,0
1,5,5,1,0,31,31,3,0
1,6,6,1,0,42,43,3,0
1,7,7,1,0,14,18,3,9
1,8,8,1,0,10,14,3,10
1,9,9,1,0,8,12,3,11
1,10,10,1,0,23,27,3,7
1,11,11,1,0,35,39,3,0
1,12,12,1,0,33,37,3,0
1,13,13,1,0,7,11,3,10
1,14,14,1,0,6,10,3,1
1,15,15,1,0,7,11,3,10
1,16,16,1,0,19,23,3,9
1,17,17,1,0,35,38,3,0
1,18,18,1,0,30,30,3,0
1,19,19,1,0,33,33,3,0
1,20,20,1,0,36,41,3,0
1,21,21,1,0,18,23,2,3
1,22,22,1,0,38,42,3,0
1,23,23,1,0,42,45,3,0
1,24,24,1,0,34,34,3,0
1,25,25,1,0,32,32,3,0
1,26,26,1,0,28,28,3,0
1,27,27,1,0,37,37,3,0
1,28,28,1,0,33,33,3,0
1,29,29,1,0,24,24,3,11
1,30,30,1,0,37,38,3,0
1,31,31,1,0,38,38,3,0
1,32,32,1,0,34,34,2,11
1,33,33,1,0,32,32,3,0
1,34,34,1,0,8,12,3,1
1,35,35,1,0,6,10,3,16
1,36,36,1,0,3,7,3,3
1,37,37,1,0,39,43,3,0
1,38,38,1,0,36,36,3,0
1,39,39,1,0,24,28,3,0
1,40,40,1,0,7,11,3,9
1,41,41,1,0,7,11,3,10
1,42,42,1,0,3,6,3,1
1,43,43,1,0,8,12,3,9
1,44,44,1,0,24,29,3,13
1,45,45,1,0,37,37,3,0
1,46,46,1,0,41,41,3,0
1,47,47,1,0,31,31,3,0
1,48,48,1,0,30,30,3,0
1,49,49,1,0,32,32,2,0
1,50,50,1,0,31,31,3,0
1,51,51,1,0,31,31,3,0
1,52,52,1,1,27,27,2,0
1,53,53,1,0,35,35,3,0
1,54,54,1,1,28,28,3,6
1,55,55,1,0,38,38,3,0
1,56,56,1,0,41,42,3,0
1,57,57,1,0,33,33,3,0
1,58,58,1,1,3,3,4,4
1,59,59,1,0,33,33,3,0
1,60,60,1,0,35,35,3,0
1,61,61,1,0,29,29,3,5
1,62,62,1,0,25,25,3,7
1,63,63,1,0,25,25,2,7
1,64,64,1,0,18,18,3,14
1,65,65,1,0,33,33,3,0
1,66,66,1,0,32,32,2,0
1,67,67,1,0,33,37,2,0
1,68,68,1,0,27,27,2,5
1,69,69,1,0,34,35,3,0
1,70,70,1,0,36,38,2,0
1,71,71,1,0,33,36,3,0
1,72,72,1,1,8,8,4,3
1,73,73,1,0,36,37,2,0
1,74,74,1,0,33,33,3,0
1,75,75,1,0,20,20,2,10
1,76,76,1,1,15,15,4,1
1,77,77,1,0,15,15,2,1
1,78,78,1,0,15,15,2,1
1,79,79,1,0,15,15,2,1
1,80,80,1,0,15,15,2,1
1,81,81,1,0,15,15,2,1
1,82,82,1,1,19,19,2,6
1,83,83,1,0,25,25,3,5
1,84,84,1,0,32,32,2,0
1,85,85,1,0,38,38,3,0
1,86,86,1,0,30,30,3,0
1,87,87,1,0,30,30,3,0
1,88,88,1,0,30,30,3,0
1,89,89,1,0,34,34,3,0
1,90,90,1,0,40,40,3,0
1,91,91,1,0,30,30,3,0
1,92,92,1,1,30,30,3,0
1,93,93,1,0,24,27,3,8
1,94,94,1,0,7,11,3,9
1,95,95,1,0,4,8,3,3
1,96,96,1,0,5,9,3,3
1,97,97,1,0,6,9,3,1
1,98,98,1,0,20,24,3,6
1,99,99,1,0,26,30,3,10
1,100,100,1,0,31,31,3,0
1,101,101,1,0,26,26,2,2
1,102,102,1,0,31,31,2,0
1,103,103,1,0,34,34,3,0
1,104,104,1,0,34,34,3,0
1,105,105,1,0,35,36,3,0
1,106,106,1,0,31,33,3,0
1,107,107,1,1,19,19,3,17
1,108,108,1,0,30,30,2,0
1,109,109,1,0,29,29,2,0
1,110,110,1,0,24,24,3,12
1,111,111,1,0,29,29,3,9
1,112,112,1,0,32,32,3,0
1,113,113,1,0,43,43,3,0
1,114,114,1,0,34,34,3,0
1,115,115,1,1,17,17,4,4
1,116,116,1,0,36,37,3,0
1,117,117,1,0,32,32,3,0
1,118,118,1,0,35,35,3,0
1,119,119,1,0,29,29,3,13
1,120,120,1,0,40,40,3,0
1,121,121,1,0,39,39,3,4
1,122,122,1,0,45,45,3,5
1,123,123,1,0,39,39,3,0
1,124,124,1,0,10,10,3,23
1,125,125,1,0,37,37,3,0
1,126,126,1,0,35,35,2,0
1,127,127,1,0,33,33,2,0
1,128,128,1,0,23,25,3,0
1,129,129,1,0,28,32,2,1
1,130,130,1,0,35,35,3,9
1,131,131,1,0,41,41,3,0
1,132,132,1,0,32,32,3,0
1,133,133,1,0,30,30,3,0
1,134,134,1,0,24,25,3,16
1,135,135,1,0,40,41,3,0
1,136,136,1,0,41,45,3,0
1,137,137,1,0,24,25,3,6
1,138,138,1,0,31,33,3,6
1,139,139,1,0,5,6,3,1
1,140,140,1,1,21,21,3,17
1,141,141,1,0,16,17,3,2
1,142,142,1,0,10,11,3,3
1,143,143,1,0,6,7,3,2
1,144,144,1,0,22,24,3,13
1,145,145,1,0,41,42,3,0
1,146,146,1,0,31,31,3,5
1,147,147,1,0,33,33,3,7
1,148,148,1,0,34,35,3,2
1,149,149,1,0,36,36,3,0
2,0,0,2,0,24,25,3,12
2,1,1,2,0,22,24,3,14
2,2,2,2,0,14,22,2,0
2,3,3,2,0,6,8,2,24
2,4,4,2,0,8,13,2,6
