,telnet netscape,virtex virtex,expr cat,ls generic,download tcpostio,fifo cat,tcsh java_wr,generic date,generic sendmail,ls sed,rmdir generic,ghostvie hostname,stty hostname,launchef hostname,cat cat,sendmail rm,cat hpost,file ppost,java java_wr,download hostname,Unnamed: 0,date lp,sh rm,rm ls,rm sh,stty fec,stty ls,cat file,mediamai hostname,cat post,sh man,download gs,xremote xinitrem,true grep,finger finger,javac java_wr,telnet finger,bibtex virtex,ln find,java javac,col col,xterm tcsh,stty virtex,dirname java,sh hostname,generic cat,lock hostname,awk ppost,sendmail sh,ls tail,generic ln,rm netscape,date cat,virtex bibtex,hostname date,tcsh sh,post awk,xrdb cpp,virtex netscape,env tcsh,expr generic,dvips dvipost,file post,stty sh,launchef launchef,generic ls,telnet telnet,mediamai tcsh,generic lp,awk cat,postprin cat,tcsh mkpts,tcsh tcsh,sh netscape,xterm xremote,lock netscape,mail tcsh,ln ln,tcppost sh,lp ln,reaper cat,netscape mkpts,sed fifo,ls sh,sh tcpostio,sh getpgrp,generic download,find mkpts,tcsh launchef,xrdb mkpts,egrep egrep,mkdir expr,tcsh emacs20,ln virtex,sh tr,tcpostio cat,xdvirea xdvi,launchef sh,date generic,unlock rmdir,emacs20 tcsh,telnet tcsh,sh lock,generic expr,cat generic,awk maplesy,sleep ls,rm unlock,tcsh make,ln generic,nawk hostname,hpost dvips,hostname tset,driver tcsh,find tail,wait4wm xhost,lock ls,stty java_wr,netscape netscape,tcpostio tcpostio,bc postprin,netscape ls,cpp sh,ls netscape,java_wr expr,generic rm,hostname id,download gethost,generic tcppost,ghostvie rm,more telnet,file ln,sendmail ls,getopt true,cut cat,hostname stty,gs ghostvie,tcsh cat,xinitrem tcsh,tcsh xterm,sendmail sendmail,grep find,lock generic,frm tput,sh launchef,diff diff,xsetroot reaper,sendmail telnet,find expr,sh xrdb,dvipost awk,postprin date,grep ps,ls virtex,mediamai cat,fifo generic,generic hostname,lock lock,mediamai launchef,fifo rm,launchef netstat,more ul,tr sh,man man,netscape sh,expr expr,true ls,cat mail,tail ls,bc date,sh more,ld_ driver,hpost ppost,ppost awk,getpgrp lock,lp getpgrp,sh netstat,egrep java,hostname cat,generic gethost,java java,dvipost rm,stty env,cat date,more ls,fec driver,egrep expr,id nawk,stty launchef,lp find,sendmail lock,post rm,sh mediamai,java mkpts,ls ln,sendmail netscape,dirname basename,pine rsh,expr dirname,ls tcsh,gethost download,netscape tcpostio,tail generic,ps grep,sh sh,generic tcpostio,java hostname,ls more,ln dvipost,uname awk,ls ls,sh less,netstat netscape,javac tcsh,make tcsh,rm generic,more sh,awk date,mediamai sendmail,ppost bc,tcsh hostname,ppost rm,tail more,netscape launchef,true true,less sh,find mkdir,lp sh,grep date,virtex hostname,sh sendmail,cat postprin,tcsh nawk,tset hostname,nawk getopt,mkpts hostname,netscape virtex,grep grep,netscape hostname,tcsh ls,finger ls,expr touch,gethost tcpostio,basename egrep,telnet ls,generic generic,rm mediamai,cat cut,xhost xsetroot,lock true,Label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,0,1,0,1,0,2,0,2,1,0,0,0,2,1,1,1,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,2,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2,0,0,0,1,0,1,0,2,0,2,1,0,0,0,2,0,1,1,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0
3,0,0,0,1,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
4,0,0,0,1,0,1,0,3,0,2,1,0,0,0,2,1,1,1,0,0,4,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,3,4,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0
5,0,0,0,3,0,2,0,3,0,4,2,0,0,0,0,0,0,0,0,1,5,2,0,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,4,2,0,0,2,0,3,0,0,2,0,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
6,0,0,0,1,0,1,0,2,0,2,1,0,0,0,2,0,1,1,0,0,6,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,3,3,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0
9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,6,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
