,xconfirm endsessi,troff cat,sh pwd,ls generic,download tcpostio,fifo cat,tbl sed,ls sed,rmdir generic,launchef hostname,cat cat,cat hpost,ex pwd,ex sendmail,cat generic,download hostname,hpost dpost,Unnamed: 0,gettxt gettxt,echo pwd,date lp,sh rm,nawk cpp,rm ls,lc pwd,rm sh,lock ex,pwd hostname,cat file,reaper 4dwm,sort sort,cat post,rm mediamai,sed hostname,true grep,cat hostname,sleep rm,sendmail mailx,eqn troff,hpost dvips,sendmail pwd,xrdb mkpts,mailx sendmail,sh hostname,4dwm cat,generic cat,sh userenv,lc rm,awk ppost,sendmail sh,generic ln,pwd pwd,userenv wait4wm,post awk,uname nawk,pwd sh,expr generic,dvips dvipost,sh lock,lock hostname,generic ls,ex sh,generic lp,awk cat,hostname sed,find chmod,mimencod sh,sed eqn,ex virtex,file ppost,toolches xwsh,ln ln,pwd ls,lp ln,tel test,lc fgrep,sh launchef,sed fifo,dpost rm,as gcc,sh tcpostio,sh getpgrp,endsessi tellwm,gcc gcc,spell sh,sh ls,pwd ex,mkdir expr,tcpostio cat,xdvirea xdvi,launchef sh,date generic,unlock rmdir,gettxt xconfirm,mc lc,file post,rm unlock,tbl troff,dvipost awk,sh ex,ln generic,gettxt hostname,virtex sh,dpost cat,find tail,wait4wm xhost,lock ls,netscape netscape,fifo expr,file dpost,tcpostio tcpostio,hostname gettxt,gre gre,sh cpp,tbl hostname,cpp sh,lc sendmail,date echo,generic rm,hostname id,download gethost,generic tcppost,sh virtex,stty date,sendmail ls,virtex ps,getopt true,hostname stty,cat sendmail,sh gettxt,endsessi xdm,eqn tbl,sendmail sendmail,gre wc,lock generic,troff mkdir,tbl tbl,dpost awk,echo find,xsetroot reaper,env echo,test grep,find expr,sh xrdb,generic download,ex ex,lock pwd,sed sed,test hostname,generic hostname,lock lock,fifo rm,find ls,eqn id,troff tbl,lc cat,troff hostname,wc test,tcppost sh,lc sh,ln ex,sprog sort,find troff,true ls,tail ls,fgrep fgrep,sendmail launchef,file ln,tellwm xprop,grep tel,ppost awk,lock virtex,getpgrp lock,lp getpgrp,sed tbl,hostname cat,generic gethost,mkpts test,launchef launchef,echo env,dvipost rm,generic troff,cat date,test test,pwd cat,id nawk,lp find,post rm,sh mediamai,ex xwsh,sh xwsh,gcc uname,tbl eqn,xterm launchef,xprop endsessi,sort spell,gethost download,lc ls,tail generic,lc ln,sh sh,expr cat,fgrep ex,ln dvipost,mp cat,pq pq,spell spell,pwd fgrep,generic date,rm generic,more sh,ln find,sh mailx,lc ex,chmod echo,cat ls,mediamai sendmail,sleep sh,echo sh,ls mc,ppost rm,test sh,generic mp,fgrep ls,awk dpost,true true,xwsh sh,sh tbl,find mkdir,lp sh,sh xterm,grep date,virtex hostname,sh sendmail,sh mimencod,ps gre,ex ln,nawk getopt,echo ln,sh eqn,sh sleep,gethost tcpostio,lock sendmail,generic generic,troff sed,echo ls,sendmail cat,xhost xsetroot,lock true,ex ls,Label
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1,3,0,0,0,1,1,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,2,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,1,0,1,0,2,0,3,1,0,0,1,0,0,2,0,2,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,1,0,0,0,2,0,0
2,0,1,0,2,0,1,2,3,2,0,0,1,0,0,1,0,1,2,0,0,1,0,0,2,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,0,0,0,1,0,0
3,0,0,0,1,0,1,0,2,1,0,0,2,0,0,1,0,2,3,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,1,0,1,1,0,0,2,0,0,2,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0
4,0,1,0,2,0,2,0,3,1,0,0,1,0,0,2,0,1,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,6,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,1,0,0,0,2,0,0
5,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,1,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,1,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,2,0,0,0,1,0,0
6,0,0,0,2,0,2,0,3,1,0,0,1,0,0,2,0,1,6,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,6,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0
7,0,0,0,2,0,1,1,3,1,0,0,1,0,0,2,0,1,7,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,2,0,0,4,2,0,3,0,2,0,0,0,1,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
8,0,2,0,1,0,1,1,2,1,0,0,1,0,0,1,0,1,8,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,2,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,0,0,0,0,0,2,0,2,0,1,0,1,1,0,0,0,1,0,0
9,0,1,0,1,0,2,0,3,1,0,0,2,0,0,1,0,2,9,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,2,0,1,0,0,0,2,0,0,2,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,2,1,0
