,mail less,stty tset,maplesy mapletty,magmaex magmaex,ls sed,mail uname,sendmail mail,virtex virtex,Unnamed: 0,gettxt gettxt,maplesy sh,tset magmaex,mail mail,date generic,fmt tcsh,xprop endsessi,tset less,nawk maplesy,tset uname,xterm mapletty,mapletty magmaex,magmaex uname,gs gs,uname nawk,expr w3c,gettxt hostname,mail tcsh,sed fifo,xterm sh,ex sendmail,xdvirea xdvi,purifys sh,tcsh mapletty,tput tcsh,gordon gordon,reaper sh,magmaex tcsh,euphony3 nawk,wait4wm xhost,sh cat,netscape netscape,sh engine,tcpostio tcpostio,mail tput,hostname gettxt,maplesy magmaex,sh mail,stty xmodmap,grep euphony3,hostname stty,tcsh cat,tcsh xterm,sendmail sendmail,mapletty ls,gettxt tellwm,w3c grep,endsessi sh,nawk uname,ls less,maplesy nawk,w3c w3c,xset stty,expr expr,xsetroot xset,mapletty tcsh,cat mail,engine sh,mapletty uname,tset ls,finger tput,xterm gettxt,xmodmap reaper,sh sh,w3c aacdec,sh xdm,ex mail,aacdec expr,expr dirname,tellwm xprop,ex fmt,less less,uname maplesy,ls ls,tput mail,sh less,netstat netscape,generic date,tcsh ex,tcsh hostname,xdm twm,ls ex,tset mail,nawk w3c,mail ls,maplesy cat,grep grep,twm xbiff,less ls,less sh,xhost xsetroot,Label
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,2,0,45,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
2,0,4,0,1,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,2,1,0,1,0,1,0,1,3,0,0
3,3,3,2,0,0,0,0,4,3,2,0,0,3,0,0,1,2,2,0,0,0,1,0,4,0,1,4,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,4,0,0,3,1,2,0,1,1,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,3,1,0,1,0,0,0,1,1,0,6,0,0
4,0,5,0,0,0,0,2,0,4,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,5,4,0,6,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,1,0,0,3,5,0,0,3,0,1,0,2,0,0,4,0,0
5,2,6,0,0,0,0,1,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,6,0,4,0,0,1,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,3,0,0,2,6,0,0,5,0,0,0,0,0,0,6,0,0
6,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,0,0,0,0,0,0,0,0,0,40,0,0
7,1,3,0,0,0,0,1,0,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,1,0,2,1,2,5,0,0,0,0,0,2,1,2,3,1,0,2,0,0,3,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,3,0,0,0,1,0,0,0,0,0,7,1,0
8,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,9,0,0,1,0,0,0,9,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0
9,0,1,0,0,0,0,0,1,9,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,5,1,0,0,2,0,0,7,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0,0,4,0,1,4,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,9,0,0,1,0,0
10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0
11,0,0,0,0,3,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,0,1,0,0,2,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0
13,0,1,0,0,3,0,0,2,13,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0
14,0,0,0,0,3,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,2,0,0,1,0,0,15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,6,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,7,0,4,1,0,0,0,6,0,0,1,0,2,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,2,0,0,1,0,8,0,0,2,0,0,0,10,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
