,fig2dev sh,xconfirm endsessi,troff cat,ls generic,download tcpostio,fifo cat,configur cat,ls sed,rmdir generic,launchef hostname,configur fec,cat hpost,ex pwd,ex sendmail,echo lock,cat generic,xdm faces,hpost dpost,Unnamed: 0,gettxt gettxt,date lp,rm ls,rm sh,lock ex,lock generic,ar sh,cat file,sh gmake,sort sort,cat post,sed hostname,true grep,cat hostname,sendmail mailx,sed tbl,ln find,hpost dvips,eqn hostname,4dwm reaper,xprop endsessi,mailx sendmail,hostname pr,sh hostname,4dwm cat,generic cat,sh userenv,awk ppost,sendmail sh,generic ln,userenv wait4wm,mkpts test,sh mailx,virtex ex,expr generic,dvips dvipost,sh lock,lock hostname,generic ls,ex sh,echo getpgrp,generic lp,awk cat,postprin cat,driver configur,hostname sed,find chmod,mailx mailx,getpgrp echo,ex virtex,ln ln,tcppost sh,lp ln,gethost rm,pr id,dpost awk,sed fifo,dpost rm,mailx pwd,configur grep,sh tcpostio,sh getpgrp,endsessi tellwm,xsetroot 4dwm,lp echo,sed configur,spell sh,gmake rm,sed id,pwd ex,gettxt hostname,mkdir expr,sed rm,tr configur,toolches cpp,tcpostio cat,xdvirea xdvi,launchef sh,date generic,unlock rmdir,be driver,gettxt xconfirm,mailx pr,rm unlock,lock ln,fec inline,echo sh,dvipost awk,sh ex,ln generic,ln test,cfe driver,cat configur,virtex sh,sed troff,dpost cat,find tail,wait4wm xhost,fec be,echo launchef,file dpost,tcpostio tcpostio,bc postprin,hostname gettxt,rm rm,hostname eqn,cpp sh,inline be,date echo,generic rm,hostname id,download gethost,generic tcppost,sh virtex,stty date,sort spell,getopt true,hostname stty,mailx xwsh,endsessi xdm,xrdb mkpts,sendmail sendmail,file ppost,configur cfe,tbl tbl,sh launchef,echo find,xsetroot reaper,lock lock,env echo,sh xrdb,generic download,ex ex,test detex,sed sed,sh fec,configur rm,fifo rm,configur tr,eqn id,mailx ex,launchef gettxt,driver sh,pwd ln,ln ex,file post,sprog sort,sed eqn,find troff,true ls,cat sed,echo ex,detex sprog,reaper 4dwm,nawk getopt,eqn tbl,tellwm xprop,hpost ppost,reaper cat,ppost awk,troff hostname,getpgrp lock,lp getpgrp,mailx hostname,hostname cat,generic gethost,sed sh,launchef launchef,echo env,dvipost rm,generic troff,cat date,test test,id nawk,lp find,gmake sh,post rm,post awk,sed configs,tbl eqn,sh sleep,test hostname,gethost download,tbl id,tr cat,sh sh,ln dvipost,download rm,mailx sh,configs sed,pq pq,spell spell,pr hostname,generic date,rm generic,eqn troff,rm tcpostio,sh sed,chmod echo,configur configur,rm configur,rm ln,grep rm,sleep sh,ppost bc,sh tbl,ppost rm,awk dpost,true true,find mkdir,lp sh,sh xterm,grep date,virtex hostname,sh sendmail,lock sh,sh ar,launchef xfig,ex ln,file ln,echo ln,sh eqn,xterm launchef,gethost tcpostio,generic generic,troff sed,be ld_,configur sed,xhost xsetroot,lock true,ld_ driver,Label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,3,0,1,3,0,0,1,0,0,0,0,2,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,2,2,2,0,4,2,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
2,0,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,0,0,2,0,2,1,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,2,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
3,0,0,1,1,2,2,0,2,1,0,0,1,0,0,1,2,0,1,3,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,2,2,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,5,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0
4,0,0,1,1,1,1,0,3,2,0,0,1,0,0,1,1,0,1,4,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,2,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
5,0,0,1,1,1,1,0,2,1,0,0,2,0,0,0,1,0,2,5,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
6,0,1,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,0,6,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,3,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,1,0,1,1,0,2,0,0,2,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
8,3,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,4,1,1,0,1,0,1,0,0,0,1,0,0,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,3,0,1,0,0,0,3,0,1,3,0,0,1,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
