,driver wc,mkdir cat,as1 ld_,aout cfe,ls tcsh,sh tr,Unnamed: 0,nawk cpp,rm ls,sh man,tcsh grep,make efm,less less,head wc,tcsh cfe,sh aout,nawk ld_,sh mkpts,sendmail sendmail,gdb ddd,sendmail sh,date sh,ld gcc,uname nawk,rsh rsh,sh make,cfe driver,make cfe,ld_ nm,tcsh tcsh,mail tcsh,rmdir sh,as1 cfe,tcsh less,nm ld,as gcc,sh efm,gcc gcc,cat cpp,sh ls,less tcsh,cc1 as,efm gdb,tcsh make,cpp imake,ln tcsh,xmkmf sh,stty tcsh,xrdb tcsh,driver tcsh,make ln,imake xmkmf,rm rm,hostname id,getopt true,tcsh cat,cpp cc1,date date,rm uname,emacs20 tcsh,tcsh ld_,ls less,ls rm,tr sh,man man,sh date,cat mail,make rm,ld_ driver,sed sh,sh head,sh wc,efm stty,ugen as1,tcsh stty,sh sh,cfe ugen,sh mediamai,rm rmdir,ls ls,rm cfe,sh less,efm less,mediamai sendmail,wc sh,tcsh xrdb,gcc tcsh,as1 driver,grep date,uopt ugen,col col,grep grep,less date,tcsh ls,less ls,sh sed,cfe uopt,less sh,tcsh uname,tcsh date,Label
0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,0,0,0,2,0,0,3,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,1,1,3,0,0,8,0,5,1,0,0,0,0,0,1,0,0,0,8,1,0,5,0,5,0,0,1,6,0,0,5,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,2,0,1,26,0,3,0,0,0,0,0,0,1,0,0,0,26,0,0,3,0,3,0,0,0,1,1,0,3,0,0,0,0
3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0,1,1,0,0,27,0,1,0,0,0,0,0,1,1,0,0,0,27,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0
4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,0,0,0,1,0,0,13,0,0,0,0
5,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0
6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
7,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,17,0,0,1,2,2,4,0,1,0,1,0,0,0,1,0,1,1,0,6,0,0,1,0,1,0,0,2,2,0,1,1,0,0,1,0
8,0,0,0,0,0,0,8,0,0,0,0,0,0,3,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,23,0,0,2,0,3,5,0,2,0,0,0,0,0,0,0,0,1,0,9,0,0,2,0,2,0,0,0,0,0,0,2,0,0,1,0
9,0,1,0,0,0,0,9,10,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,10,0,1,0,0,0,0,0,1,0,0,0,9,1,9,1,0,1,9,0,1,1,0,1,0,0,0,0,1,1,0,0,0,10,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8,0,0
