,mediamai ls,touch csh,man csh,neqn sed,ps mediamai,sh kill,ls generic,ls csh,download tcpostio,getopt true,tcsh java_wr,ls sed,mimencod sh,ls expr,kill userenv,ls sh,4dwm csh,cat generic,csh sh,download hostname,Unnamed: 0,csh reaper,date lp,sh rm,rm ls,rm sh,userenv csh,cat file,java java_wr,sh csh,cat post,sh man,download gs,ls rmdir,xterm toolches,true grep,finger finger,java javac,sh toolches,cat more,dirname java,sh hostname,ps launchef,generic cat,rmdir ls,ps more,sendmail sh,emacs20 emacs20,csh ls,generic ln,arch uname,csh rm,userenv wait4wm,more rm,popper popper,download cat,expr generic,man unpack,file post,nroff sed,java java,generic ls,generic lp,awk cat,gethost gethost,xsetroot cat,mediamai rm,sed neqn,javac tcsh,mediamai launchef,ln ln,tcppost sh,ls emacs20,post awk,mediamai cpp,sed fifo,sendmail rm,sh tcpostio,sh getpgrp,lock sendmail,whoami xconfirm,true true,egrep egrep,sh ls,mkpts env,mkdir expr,mediamai mediamai,rlogin rlogin,sh tr,tcpostio cat,launchef sh,date generic,unlock rmdir,4dwm xterm,sh lock,generic expr,rm unlock,sleep ls,csh cat,mediamai sh,ln generic,xterm 4dwm,nroff neqn,sh ps,csh launchef,col ul,pwd uname,wait4wm xhost,ls rm,stty java_wr,sh metamail,sh more,tcpostio tcpostio,netscape popper,rm rm,xterm csh,cpp sh,gs gs,java_wr expr,lp sh,hostname id,generic tcppost,sendmail cat,fifo cat,hostname stty,gs ghostvie,csh rlogin,xrdb env,sendmail more,xrdb mkpts,sendmail sendmail,grep find,lock generic,csh userenv,mediamai ps,tbl tbl,sh launchef,metamail sh,xsetroot reaper,find expr,sh xrdb,emacs20 hostname,pwd expr,mediamai cat,rm csh,neqn tbl,lock lock,fifo rm,ps ps,pq sendmail,sh cat,sh false,tr sh,man man,expr expr,true ls,cat mail,csh csh,metamail xterm,userenv sh,rmdir generic,netscape netscape,toolches toolches,sendmail csh,reaper cat,gs hostname,getpgrp lock,lp getpgrp,egrep java,hostname cat,generic gethost,toolches sh,launchef launchef,tcpostio download,csh toolches,cat date,egrep expr,id nawk,lp find,ps csh,csh sendmail,post rm,sh mediamai,csh xdm,mediamai more,expr pwd,uname true,dirname basename,expr dirname,gethost download,gawk matlab_l,sh sh,env csh,expr cat,csh 4dwm,sendmail ls,ls more,mp cat,ls ls,lmstat gawk,mail csh,xdm cpp,csh kill,false whoami,toolches 4dwm,more ls,generic date,rm generic,more sh,4dwm xdm,gethost tcpostio,toolches ps,mediamai sendmail,pq pq,mediamai toolches,lmstat nawk,generic mp,sed nroff,lock gs,true lmstat,csh xterm,expr ls,find mkdir,sh pq,generic rm,mediamai csh,toolches xterm,grep date,sh sendmail,sh mimencod,kill wait4wm,unpack col,xconfirm showps,nawk getopt,nawk lmstat,popper netscape,more more,ul more,toolches csh,expr touch,col col,lmstat pwd,basename egrep,generic generic,reaper launchef,rm mediamai,4dwm toolches,lmstat lmstat,xhost xsetroot,lock true,Label
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,1,0,2,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,2,0,0
1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,2,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,1,1,0,0,2,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
5,0,0,0,2,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,2,0,1,1,1,0,0,0,2,0,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,2,1,1,0,0,2,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0
8,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,0,8,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,9,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,1,0,0,1,0,1,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,5,0,2,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0
