,xconfirm endsessi,ls generic,fifo cat,ls sed,mimencod sh,aacdec cat,csh make,cat generic,Unnamed: 0,gettxt gettxt,date lp,nawk cpp,rm ls,rm sh,cat file,cat post,true grep,xprop endsessi,generic cat,cpp cc1,sendmail sh,generic ln,post awk,java csh,uname nawk,expr generic,file post,launchef launchef,gettxt hostname,generic lp,acroread acroread,ln ln,tcppost sh,sed fifo,as gcc,endsessi tellwm,gcc gcc,egrep egrep,mkpts env,launchef sh,date generic,gettxt xconfirm,netscape sendmail,sh gettxt,cc1 as,generic ls,csh launchef,find tail,wait4wm xhost,netscape netscape,tcpostio tcpostio,hostname gettxt,cpp sh,java_wr expr,hostname id,sh netscape,getopt true,endsessi endsessi,xrdb mkpts,sendmail sendmail,sh launchef,xrdb cpp,sh xrdb,generic hostname,launchef gettxt,expr expr,cat mail,tail ls,csh csh,getpgrp lock,egrep java,hostname cat,java java,netscape aacdec,id nawk,cat aiffplay,lp find,post rm,sh mediamai,sendmail netscape,dirname basename,expr dirname,sh sh,env csh,ls ls,mail csh,netstat netscape,netscape sh,generic date,rm generic,mediamai sendmail,aiffplay sh,true true,gcc uname,grep date,nawk getopt,sh aacdec,basename egrep,generic generic,xhost xsetroot,Label
0,0,1,1,2,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,2,0,1,0,1,0,2,0,0,0,0,1,3,3,0,0,0,0,1,3,0,1,0,3,0,2,0,1,0,1,0,1,0,1,1,2,0,0,0,3,0,2,1,0,2,0,0,1,0,1,1,0,0,0,0,3,1,0,3,0,0,2,1,0,0,1,0,1,1,0,0,1,1,0
1,1,0,0,0,2,0,0,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,1,5,0,1,0,0,0,0,1,0,1,16,0,1,2,0,0,1,0,0,1,0,2,1,2,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,2,0,2,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0
4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,0,1,0,0,0,0,3,0,1,18,0,1,2,0,0,0,0,0,1,1,4,1,2,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7,0,1,1,2,0,0,0,1,7,0,1,0,2,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,1,2,0,0,0,4,0,0,3,0,0,0,0,1,0,0,0,9,3,0,0,2,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,2,1,1,0,1,0,1,1,0,1,1,0,0
8,0,0,1,1,0,0,3,0,8,0,1,0,0,0,1,1,1,0,0,0,0,1,1,3,0,1,1,0,0,1,2,1,0,1,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,4,0,1,0,1,1,0,0,4,3,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,1,0,0
9,0,1,0,1,0,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,51,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
