,4dwm,9term,acroread,awk,basename,bc,be,bibtex,cat,cdc,co,col,compress,cpp,cut,date,dc,diff,dirname,download,driver,dvipost,dvips,egrep,emacs20,endsessi,env,expr,faces,fec,fifo,file,find,finger,frm,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gnuplot,gnuplot_,grep,gs,gzip,hinv,hostname,hpost,id,ispell,java,java_wr,javac,kill,launchef,ld_,less,ln,lock,lp,lpr,ls,mail,make,man,maplesy,mapletty,mediamai,metamail,mimencod,mkdir,mkpts,more,nawk,neqn,netscape,netstat,nroff,pine,post,postprin,ppost,ps,pwd,rbnull,reaper,rlogin,rm,rmdir,rsh,sed,sendmail,sh,sleep,sqpe,ssh,stty,su,tail,tar,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,tr,true,tset,ul,uname,unlock,unpack,userenv,virtex,wait4wm,whois,xauth,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xinitrem,xprop,xrdb,xremote,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,8,0,0,0,0,0,0,4,2,0,0,0,0,5,0,0,0,2,0,0,0,8,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9,17,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,4,0,2,0,0,1,0,0
1,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,10,1,2,1,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,2,0,0,2,2,3,0,3,0,0,0,0,0,4,0,0,1,0,2,2,0,3,0,0,0,0,1,3,0,0,0,0,0,4,1,0,2,6,8,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,3,0,0,0,10,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,1,0,10,0,0,0,0,0,3,0,0,1,0,3,0,0,5,0,0,0,0,1,3,0,0,0,0,0,5,1,0,2,5,8,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,2,2,0,0,0,13,1,2,2,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,3,4,0,5,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,3,1,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
4,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,13,2,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,2,2,2,0,3,0,0,0,0,0,3,0,0,1,0,0,1,0,4,0,0,0,0,1,3,0,0,0,0,0,4,1,0,2,6,9,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
5,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0,0,17,1,2,1,0,0,0,0,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,3,3,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,4,0,3,0,0,0,0,0,1,0,0,7,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
6,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,5,0,5,0,1,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,10,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,2,2,2,0,6,0,0,0,0,0,1,0,0,1,1,2,1,0,8,0,0,0,0,1,3,0,0,0,0,0,4,1,0,2,0,5,0,0,0,1,0,2,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,20,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,10,6,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,21,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,27,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
10,0,0,0,1,5,1,0,0,2,0,0,0,0,0,0,2,0,0,7,0,0,0,0,20,0,0,0,17,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,12,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
