,4dwm,aacdec,acroread,aiffplay,arch,awk,bc,bibtex,cat,chmod,col,compress,cpp,csh,date,df,dirname,download,dvips,egrep,emacs20,endsessi,env,ex,expr,f2ps,faces,fifo,file,find,finger,gawk,generic,gethost,getopt,getpgrp,gettxt,gftopk,ghostvie,grep,gs,gzip,head,hostname,hpost,id,ispell,kill,launchef,lks,lmstat,ln,lock,lp,lpdsend,lpr,ls,mail,maketexp,man,maplesy,matlab,matlab_l,mediamai,mkdir,mkpts,more,movemail,nawk,netscape,netstat,nscal,nslookup,ping,post,postprin,ppost,pq,pr,ps,pwd,rdistd,reaper,resize,rlogin,rm,rmdir,rshd,sed,sendmail,sh,sleep,soundpla,ssh,stty,tail,tar,tcpostio,tcppost,tcsh,tektroni,tellwm,telnet,toolches,touch,tput,true,tset,ul,uname,unlock,unpack,userenv,uudecode,uuencode,virmf,virtex,wait4wm,whereis,which,whoami,xauth,xbiff,xcalc,xclock,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xmaplev5,xprop,xrdb,xsetroot,xterm,xv,xwsh,User,Segment,Label
0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,31,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,10,0,0
1,1,0,0,0,0,0,0,0,5,0,0,0,2,15,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,2,0,1,0,2,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,2,1,0,0,2,10,1,0
2,0,0,0,0,0,1,0,0,5,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,2,1,1,4,0,9,0,1,1,0,0,0,1,0,0,0,3,0,1,0,0,10,0,0,2,1,2,1,0,5,1,0,0,0,0,0,0,1,0,0,2,1,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,2,0
3,0,0,0,0,0,1,0,0,5,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,11,0,1,1,0,0,1,5,1,0,0,3,0,1,0,0,2,0,0,2,3,2,1,0,10,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,4,2,0,2,0,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0
4,0,0,0,0,0,1,0,0,5,0,0,0,0,1,5,0,0,1,2,0,0,0,0,0,2,0,0,2,2,2,0,0,11,0,2,1,0,0,1,2,3,0,0,2,0,2,0,0,0,0,0,3,2,3,1,0,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,4,0
5,0,0,0,0,0,2,0,0,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,1,0,0,4,1,1,0,0,19,0,1,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,4,4,3,2,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,2,0,4,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0
6,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,2,0,0,2,2,2,0,0,13,0,2,2,0,0,1,2,1,0,0,2,0,2,0,0,0,0,0,6,3,4,1,0,7,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,6,0
7,1,0,0,0,0,0,0,0,5,0,0,0,0,9,3,0,0,1,0,0,5,2,0,0,0,0,1,2,0,0,2,0,7,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,1,0,1,6,1,0,0,0,2,0,0,0,0,0,1,2,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,10,7,0
8,0,0,0,0,0,0,0,0,3,0,0,0,2,10,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,18,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,10,8,0
9,0,0,0,0,0,2,0,0,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,0,13,1,2,2,0,0,3,2,3,3,0,2,0,2,0,0,0,0,0,4,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,9,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
