,4dwm,acroread,aout,arch,as,as1,awk,basename,bc,cat,cc1,cfe,chmod,col,compress,cpp,date,download,driver,dvips,emacs20,endsessi,enscript,env,ex,expr,faces,fifo,file,find,finger,ftp,gcc,generic,gethost,getopt,getpgrp,gettxt,grep,gs,hostname,hpost,id,ispell,kill,ksh,last,launchef,lcc,ld,ld_,less,ln,lock,lp,lpr,ls,mail,make,man,maplesy,mapletty,mediamai,metamail,mkdir,mkpts,more,moviepla,mplotcha,mplotps,mplotx11,nawk,neqn,netscape,netstat,nm,nroff,passwd,pine,post,postprin,ppost,pq,pr,ps,q_eg,q_egtest,q_test,quota,rcc,reaper,rlogin,rm,rmdir,rsh,sed,sendmail,setup,sh,shownona,showps,sleep,ssh,stty,tail,tar,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,tr,true,tset,tty,ugen,uname,unlock,unpack,unzip,userenv,virtex,wait4wm,whoami,xauth,xbiff,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xinitrc,xprop,xrdb,xrn,xset,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,21,0,0,13,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,11,0,0
1,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,6,2,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,5,0,3,0,13,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,1,0
2,1,0,0,5,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,2,0,0,1,0,4,0,0,0,0,0,0,3,1,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,2,0,11,2,0
3,1,0,0,3,0,0,0,0,0,5,0,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,4,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,2,0,11,3,0
4,1,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,3,0,6,0,0,1,0,3,0,0,0,0,0,0,3,1,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,4,0,11,4,0
5,1,0,0,8,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,2,0,0,1,0,7,0,0,0,0,0,0,1,1,1,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,1,1,0,4,0,6,0,11,5,0
6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,16,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,11,6,0
7,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,7,0,0,1,0,4,0,0,0,0,0,0,1,4,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,6,1,1,0,4,0,4,0,11,7,0
8,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,3,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,1,0,11,8,0
9,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,6,0,0,1,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,1,1,0,4,0,5,0,11,9,0
10,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,3,0,5,0,0,1,0,4,0,0,0,0,0,0,1,6,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,6,1,1,0,4,0,2,0,11,10,0
11,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,8,0,0,1,0,4,0,0,0,0,0,0,3,1,1,0,0,0,0,4,5,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,3,0,11,11,0
12,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,3,0,10,0,0,1,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,6,2,1,0,4,0,3,0,11,12,0
13,0,0,0,3,0,0,1,0,1,7,0,0,0,0,0,0,5,1,0,0,1,0,0,1,4,1,0,1,1,1,0,0,0,9,1,1,1,0,1,0,4,1,1,0,0,5,0,0,0,0,0,0,2,1,2,0,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,13,0
14,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,3,0,0,7,0,0,1,0,1,0,0,0,1,0,0,0,8,1,0,8,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,0,2,0,0,4,0,0,1,0,2,0,0,0,0,1,0,3,1,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,2,1,0,4,0,3,0,11,14,0
15,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,4,1,0,1,5,0,0,0,0,1,0,1,1,5,0,0,0,9,1,1,1,0,5,0,4,0,1,0,0,2,0,2,0,0,0,0,2,1,2,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,0,0,0,3,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,15,0
16,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,1,0,2,1,0,0,0,0,1,0,3,1,2,0,0,0,11,1,1,1,0,2,0,2,0,2,0,0,1,0,6,0,0,0,0,2,3,2,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,3,0,7,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,16,0
