,4dwm,aout,awk,bc,cat,col,compress,cpp,date,download,echo,ed,emacs20,endsessi,env,ex,expr,faces,fgrep,fifo,file,find,finger,fish2,fish4,frm,generic,gethost,getopt,getpgrp,gettxt,grep,hostname,hpost,id,kill,launchef,lc,less,ln,lock,lp,ls,mail,mailp,mailx,man,mc,mediamai,mkdir,mkpts,more,mp,nawk,netscape,netstat,post,postprin,ppost,pr,printf,ps,pwd,rcp,reaper,rm,rmail,rmdir,rshd,sed,sendmail,sh,sleep,ssh,stty,su,suepope4,tail,tcpostio,tcppost,tcsh,tellwm,telnet,test,toolches,touch,tput,true,tset,ul,uname,unlock,unpack,userenv,wait4wm,xauth,xclock,xconfirm,xdm,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,1,5,0,0,3,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,14,0,0,5,0,0,0,0,0,0,2,0,2,1,0,0,0,5,0,5,0,0,2,2,0,0,1,1,2,1,2,2,1,1,12,0,0
1,0,0,1,1,9,0,0,0,5,1,0,2,0,0,0,1,1,0,0,2,1,1,0,2,0,0,10,1,2,1,0,2,4,1,2,0,2,0,0,2,2,2,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0,2,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
2,0,0,2,2,11,0,0,0,8,1,0,1,0,0,0,0,2,0,0,3,2,2,0,0,0,0,13,1,1,2,0,1,1,2,1,0,0,0,0,4,3,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,4,0,1,0,3,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0
3,0,0,1,1,7,0,0,0,7,2,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,17,2,1,1,4,1,2,1,1,0,0,0,0,2,3,2,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,5,0,2,0,3,0,3,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0
4,1,0,1,1,7,0,0,1,2,0,1,1,0,2,1,0,1,0,0,1,1,1,0,1,0,0,3,0,1,1,0,1,3,1,1,0,4,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,7,0,0,4,0,0,0,0,0,0,2,0,1,1,0,0,2,4,0,4,0,0,1,1,0,0,1,1,1,1,1,1,1,2,12,4,0
5,0,0,2,2,11,0,0,0,9,2,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,0,15,2,2,1,0,2,2,2,2,0,0,0,0,2,2,3,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0
6,0,0,1,1,8,0,0,0,6,1,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,15,1,1,2,0,1,2,1,1,0,2,0,0,4,4,3,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4,0,1,0,2,0,3,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0
7,0,1,1,1,9,0,0,0,8,2,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,16,2,1,1,0,1,2,1,1,0,2,0,0,2,2,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4,0,1,0,3,0,2,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0
8,0,0,1,1,8,0,0,0,5,1,0,2,0,0,0,0,1,0,0,3,1,1,0,0,0,0,11,1,1,1,0,1,3,1,1,0,4,0,0,2,3,2,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,4,0,2,0,3,0,4,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0
9,1,2,1,1,7,0,0,0,5,1,0,0,0,2,0,0,1,0,0,2,1,1,0,0,0,0,10,1,1,1,4,1,3,1,1,0,2,0,0,2,2,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0,2,0,7,0,0,1,0,0,0,4,1,0,2,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,12,9,0
10,0,0,1,1,8,0,0,1,2,0,1,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,4,1,1,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,5,0,0,1,1,0,0,0,0,1,0,1,1,2,5,12,10,0
11,0,0,1,1,9,0,0,0,7,2,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,14,2,1,2,0,1,2,1,1,0,2,0,0,3,3,3,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,3,0,1,0,3,0,2,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0
12,1,2,0,0,3,0,0,1,1,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,19,0,0,3,0,0,0,0,1,0,2,0,1,1,0,0,0,3,0,3,1,0,1,1,0,0,2,1,1,1,1,1,0,4,12,12,0
13,1,1,1,1,8,0,0,0,4,1,0,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,7,1,1,1,4,1,4,1,1,0,4,0,0,2,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,3,0,0,0,4,0,0,2,0,0,1,0,0,2,3,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,3,12,13,0
14,0,0,1,1,6,0,0,1,3,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,5,0,1,0,0,1,2,1,1,0,2,0,0,1,1,1,2,2,0,1,0,0,0,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,1,3,0,1,0,1,9,9,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,1,3,0,3,1,0,1,1,0,0,0,0,1,1,1,1,0,1,12,14,0
15,0,3,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,1,0,1,0,0,2,0,0,0,4,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,39,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,0
