,4dwm,acroread,awk,basename,bc,capture,cat,chkconfi,chmod,cled,cled_jct,compress,cpp,date,detex,devmoti,diff,download,dpost,drf,dvips,echo,egrep,emacs20,endsessi,env,ex,expr,expreser,exrecove,false,fgrep,fifo,file,find,finger,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gzip,help,hostname,hpost,id,ispell,kill,ksh,launchef,less,ln,lock,lp,lpdsend,lpq,ls,mail,man,mediamai,metamail,mimencod,mkdir,mkpts,more,nawk,netscape,netstat,platform,post,postprin,ppost,pq,reaper,resize,richtext,rlogin,rm,rmdir,sed,sendmail,sh,shownona,showps,sleep,slmclien,slmhelpe,sort,spell,sprog,sqpe,ssh,stty,tail,talk,tar,tcpostio,tcppost,tcsh,tektroni,tellwm,telnet,test,toolches,touch,tput,tr,troff,true,tset,tty,uname,unlock,userenv,uudecode,virtex,wait4wm,whereis,whoami,xauth,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,0,6,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,0,0,1,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,13,0,0
1,1,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,6,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,3,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,1,1,1,0,0,1,1,2,2,6,0,13,1,0
2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,4,0,1,1,0,0,4,0,1,0,1,0,0,2,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,4,4,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,0
3,1,0,1,0,0,0,4,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,9,1,0,1,4,0,0,0,0,0,3,0,0,0,0,8,2,0,2,2,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,4,1,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,2,1,6,0,13,3,0
4,1,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,7,0,0,0,0,10,6,0,0,0,0,0,0,2,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,6,0,13,4,0
5,0,0,1,0,0,0,9,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,6,0,1,1,0,1,1,1,0,0,7,0,1,0,0,1,4,0,3,1,2,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,1,6,5,0,0,0,0,0,2,2,1,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,13,5,0
6,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,4,0,0,0,0,0,2,0,0,0,0,8,2,0,0,1,0,0,0,3,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,12,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,6,0,13,6,0
7,0,0,1,0,1,0,11,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,1,0,0,6,1,1,1,0,1,1,1,0,0,8,1,1,0,0,3,4,0,3,1,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,13,7,0
8,0,0,1,0,0,0,5,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,14,1,1,1,4,1,1,1,0,0,2,0,1,0,0,0,2,0,2,3,2,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,8,0
9,1,0,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,6,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,9,1,0,0,0,0,0,1,0,0,0,1,0,0,0,7,0,0,0,0,0,2,2,1,0,0,7,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,2,2,6,0,13,9,0
