,4dwm,acroread,awk,basename,bc,cal,calendar,cat,col,compress,cpp,csh,date,deroff,download,dvipost,dvips,dviselec,echo,egrep,endsessi,env,ex,expr,f2ps,fifo,fig2dev,file,find,finger,frm,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gzip,helpfin,helpsor,helptop,hostname,hpost,id,ispell,join,kill,launchef,lc,less,ln,lock,lp,ls,mail,mailx,maketexp,man,mc,mediamai,mimencod,mkdir,mkpts,more,nawk,netscape,netstat,ping,post,postprin,ppost,pq,ps,ptelnet,reaper,rlogin,rm,rmdir,sed,sendmail,sgihelp,sh,showps,sleep,sort,spell,ssh,stty,tail,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,true,tset,twm,ul,uname,unlock,unpack,userenv,virtex,wait4wm,xauth,xconfirm,xdm,xdvi,xdvirea,xemacs1,xfig,xhost,xinitrem,xprop,xrdb,xremote,xset,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,0,0,0,4,0,0,2,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,8,2,0,1,0,0,5,4,0,0,0,2,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,6,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,14,0,0
1,0,0,1,0,0,0,0,3,0,0,0,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,2,3,0,4,1,2,3,2,2,0,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2,0,0,0,0,0,0,0,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0,0,1,0,17,1,0,0,0,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,0,2,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0
3,0,0,1,0,0,0,0,5,0,0,0,6,4,0,1,0,0,0,0,0,0,0,1,2,0,2,0,1,1,0,0,0,9,1,1,1,0,1,1,1,0,0,0,0,2,0,1,0,0,0,1,2,0,2,1,2,5,1,3,0,0,2,1,0,1,0,4,1,7,1,0,2,0,0,0,0,0,0,0,2,0,2,3,0,5,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0
4,0,0,0,0,0,0,0,5,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,0,0,0,0,2,1,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,3,1,2,6,0,3,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0
5,0,0,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,19,0,0,0,0,4,7,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0
7,0,0,1,0,0,0,0,4,0,0,0,0,4,0,1,2,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,9,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,2,31,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,7,0
8,0,0,1,0,1,0,0,4,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,11,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,3,2,14,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,1,3,4,0,0,0,0,4,2,3,3,0,3,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
