,4dwm,as,awk,bc,binhex,bison,cat,cc1,chmod,co,col,cpp,date,detex,download,dpost,drf,dvipost,dvips,echo,egrep,endsessi,env,eqn,ex,expr,faces,fgrep,fifo,file,find,finger,flex,gcc,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gre,grep,gs,hostname,hpost,id,launchef,lc,lcc,ld,ld_,less,ln,lock,lp,lpdsend,ls,mail,mailx,make,man,mc,mediamai,mimencod,mkdir,mkpts,more,mp,munpack,nawk,netscape,netstat,nm,platform,popper,post,postprin,postreve,ppost,pq,pr,ps,pwd,reaper,rm,rmdir,sed,sendmail,sgihelp,sh,sleep,slmhelpe,sort,spec,spell,sprog,stty,tail,tbl,tcpostio,tcppost,tcsh,tektroni,tel,tellwm,telnet,test,toolches,touch,tput,troff,true,tset,ul,uname,unlock,unpack,userenv,virtex,wait4wm,wc,whereis,which,who,whois,xclock,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,1,0,1,0,0,0,4,0,3,0,0,1,4,0,0,2,0,0,0,7,0,0,1,2,2,1,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0,1,0,5,0,1,4,2,0,0,0,0,1,0,1,0,2,0,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,10,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,16,0,0
1,0,0,1,0,0,0,6,0,0,0,0,0,6,0,2,4,0,0,0,0,0,0,0,2,1,1,0,0,3,1,1,0,0,0,16,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,4,3,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,2,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
2,0,0,1,0,0,0,4,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,4,2,1,0,0,3,1,1,0,0,0,13,1,2,1,0,0,0,1,0,2,1,2,0,0,0,0,0,0,2,3,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,0,4,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0
3,0,0,2,0,0,0,6,0,0,0,0,0,5,0,1,6,0,0,0,0,0,0,0,2,1,2,0,0,2,2,2,0,0,0,13,1,1,2,0,0,0,2,0,1,2,1,0,1,0,0,0,0,4,2,4,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,2,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0
4,0,0,1,0,0,0,6,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,2,2,1,0,0,3,1,1,0,0,0,16,2,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,3,2,0,6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,2,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0
5,0,0,2,0,0,0,5,0,0,0,0,0,4,0,1,6,0,0,0,0,0,0,0,4,1,2,0,0,2,2,2,0,0,0,10,1,2,1,0,0,0,2,0,2,2,2,0,0,0,0,0,0,4,2,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,3,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0
6,0,0,1,0,0,0,6,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,2,1,1,0,0,3,1,1,0,0,0,17,1,1,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,4,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,3,0,0,0,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,0
7,0,0,1,0,0,0,5,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,2,2,1,0,0,3,1,1,0,0,0,13,2,1,1,0,0,0,1,0,1,1,1,0,3,0,0,0,0,2,2,2,0,8,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,0,0,2,0,0,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0
8,0,0,1,0,0,0,5,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,0,4,2,2,0,0,2,1,2,0,0,0,12,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,2,3,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,0,0,4,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0
9,0,0,2,0,0,0,6,0,0,0,0,0,5,0,1,6,0,0,0,0,0,0,0,2,1,1,0,0,3,2,1,0,0,0,13,1,1,2,0,0,0,1,0,1,2,1,0,2,0,0,0,0,4,3,3,0,6,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,0,0,2,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,0
