,4dwm,awk,basename,bc,be,bibtex,cal,cat,col,cpp,date,dbx,dbxpcs,dc,diff,dirname,download,drill_do,driver,dvips,echo,edg_prel,egrep,emacs20,endsessi,engine,env,ex,expr,faces,fecc,fifo,file,find,finger,flow,frm,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,graph_te,grep,gs,gsftopk,hilow,hostname,hpost,id,ksh,launchef,lc,ld_,less,ln,lock,lp,lpq,ls,main,make,maketexp,man,mc,mediamai,mimencod,mkdir,mkpts,more,movemail,nawk,netscape,netstat,nm_elf,nr,panel_te,pg,ping,polar,post,postprin,ppost,ps,purifys,reaper,rm,rmdir,rtslave,scatter_,scroll_t,sed,sendmail,sh,stripper,stty,tail,tcpostio,tcppost,tellwm,testfont,testhist,text_are,toolches,touch,tput,true,tset,tty,uname,unlock,unpack,userenv,virtex,wait4wm,wc,whereis,which,window_t,xclock,xconfirm,xdm,xdvi,xdvirea,xemacs1,xhost,xlsfonts,xprop,xrdb,xrt_auth,xrtld,xsetroot,xterm,xwsh,User,Segment,Label
0,0,4,0,0,2,0,0,3,0,1,0,0,0,0,0,4,0,0,3,0,0,1,0,0,0,0,1,2,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,8,4,1,0,0,0,0,0,4,0,4,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,21,0,0
1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,24,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
2,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,9,0,0,10,0,0,1,0,0,0,10,0,0,18,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0
3,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,1,0,0,0,12,0,4,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,21,3,0
4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,25,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,21,4,0
5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,2,0,0,0,26,0,3,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,5,0
6,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,26,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,21,6,0
7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,1,0,0,0,11,0,5,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,4,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0
8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,1,0,0,0,0,0,2,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0
9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,24,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0
