,4dwm,aacdec,acroread,aiffplay,apanel,appdefpa,augment_,awk,backup,basename,bc,bibtex,cat,catdoc,cc,cgiparse,chatawk,chmod,col,cpp,crontab,cut,cxwsh,date,devx11,diff,dirname,doctype,download,dpost,drf,dvipost,dvips,echo,ed,egrep,endsessi,env,eqn,ex,expr,expreser,exrecove,faces,fifo,file,find,findobj,finger,frm,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gre,grep,gs,gsftopk,gzip,head,hoc,hostname,hpost,id,java,java_wr,join,kill,ksh,launchef,lc,lec2awk,lecawk,ln,lock,lp,ls,mail,mailx,maketexp,man,mc,mediamai,mesg,mimencod,mkdir,mkpts,more,movemail,nawk,netscape,netstat,olish,paste,payphone,ping,platform,post,postprin,ppost,pq,print_de,print_do,print_sc,ps,pwd,rcp,reaper,register,rlogin,rm,rmdir,rsh,rvplayer,sam,samterm,scamp_to,scheme,sed,see_scam,seecalls,sendmail,sh,sleep,slmclien,slmhelpe,sort,soundpla,spell,sprog,sqpe,stty,summary,tail,tcpostio,tcppost,tel,tellwm,telnet,test,touch,tput,troff,true,tset,tty,ul,uname,uniq,unlock,unpack,userenv,virtex,wait4wm,wc,whois,x3270,xargs,xcalenda,xclock,xconfirm,xdm,xdvi,xdvirea,xemacs1,xfontsel,xhost,xmodmap,xprop,xrdb,xsessio,xsetroot,xterm,xupdate,xv,xwsh,User,Segment,Label
0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,6,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,22,0,0
1,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,2,0,1,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,2,0
3,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,3,0
4,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,1,17,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,4,0
5,0,0,0,0,0,0,0,3,0,0,1,0,8,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,10,1,1,1,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,5,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,10,0,0,0,0,0,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,22,6,0
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,22,7,0
8,1,0,0,0,0,1,0,4,0,0,0,0,4,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,0,0,0,0,2,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,5,5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,2,3,1,0,1,0,0,22,8,0
9,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,1,0,0,0,0,12,6,1,1,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1,2,3,0,10,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,11,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0
