,4dwm,acroread,arp,as1,awk,basename,bc,bibtex,cat,cfe,chmod,col,compress,cpio,cpp,cut,date,deroff,df,dig,download,drf,driver,dvips,echo,ed,endsessi,env,eptofax,ex,expr,faces,fgrep,fifo,fig2dev,file,find,finger,flog,frm,ftp,fx,fxfilter,fxprint,fxsend,fxshut,fxstat,fxstatus,fxvision,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gzip,head,hostname,hpost,id,kill,ksh,last,launchef,lc,ld_,less,ln,lock,lp,lpq,ls,mail,make,man,mc,mediamai,metamail,mimencod,mkdir,mkpts,more,movemail,mp,named,nawk,neqn,netscape,netstat,nfsstat,nroff,nslookup,pftp,ping,popper,post,postprin,ppost,ppq,ppqcomma,pq,pr,ps,pwd,reaper,rlogin,rm,rmdir,rpcinfo,sed,sendmail,sgihelp,sh,shownona,showprod,sleep,sort,spell,sprog,stty,su,swap,tail,tar,tbl,tcpostio,tcppost,tcsh,tel,tellwm,telnet,test,tifftofa,toolches,top,touch,tput,tr,tracerou,true,tset,tty,ugen,uname,unlock,unpack,unzip,userenv,uudecode,vacation,virtex,vsimsg,vsiupdst,wait4wm,wc,webmagic,what,whereis,which,who,whois,xconfirm,xdm,xemacs1,xfig,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,35,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,23,0,0
1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,20,0,0,0,4,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,5,2,0,1,0,1,0,0,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,15,0,25,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,2,0
3,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,4,1,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,2,1,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0
4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0
5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,5,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0
6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,1,4,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,1,4,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0
7,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,1,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,2,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,23,1,0,0,0,0,0,21,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,6,2,9,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,0
9,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,13,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,2,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,9,0
