,4dwm,ar,autoconf,awk,bc,be,cat,cfe,chmod,cmp,configg,configs,configur,conftest,cpp,date,detex,download,dpost,drf,driver,dvipost,dvips,echo,egrep,emacs20,endsessi,env,eqn,ex,expr,faces,fec,fgrep,fifo,fig2dev,file,find,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gmake,grep,gs,hostname,hpost,id,inline,ksh,launchef,lc,ld_,ln,lock,lp,lpdsend,lpr,ls,m4,mailx,make,mc,mimencod,mkdir,mkpts,more,nawk,netscape,netstat,post,postprin,ppost,pq,pr,pwd,reaper,rm,rmdir,sed,sendmail,sh,sleep,sort,spell,sprog,stty,tail,tbl,tcpostio,tcppost,tektroni,tel,tellwm,test,toolches,touch,tr,troff,true,uname,unlock,userenv,virtex,wait4wm,xconfirm,xdm,xdvi,xdvirea,xfig,xhost,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,1,0,0,1,0,0,6,0,3,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7,0,0,0,1,0,1,1,0,0,0,0,0,1,4,3,0,1,0,0,0,0,1,0,5,0,1,0,0,4,0,0,2,0,2,0,0,0,0,3,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,1,1,0,1,0,13,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,24,0,0
1,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,17,2,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,2,0,0,6,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,5,2,5,0,4,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0
2,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,2,13,1,2,2,0,0,0,2,0,2,0,2,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,4,1,4,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0
3,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,3,0,1,1,14,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,2,2,0,0,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,5,0,4,0,0,0,0,0,0,2,8,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0
4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,0,1,0,0,0,0,4,2,1,0,0,0,3,0,1,1,13,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,5,2,6,0,5,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0
5,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,2,0,2,2,11,1,2,1,0,0,0,2,0,2,2,2,0,0,0,0,0,2,2,3,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,1,5,0,2,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,3,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,0
6,1,0,0,0,0,0,3,0,2,0,0,0,0,0,1,5,0,1,0,0,0,0,0,6,0,0,2,1,0,2,0,1,0,0,2,0,0,2,9,1,0,1,4,0,0,0,0,3,0,0,0,0,2,1,0,4,2,1,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,6,0,0,0,0,2,0,0,4,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,24,6,0
7,0,0,0,1,1,0,5,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,2,6,1,1,1,0,0,0,1,0,3,1,1,0,0,4,0,0,2,1,2,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,1,2,0,1,3,16,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0
8,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,1,3,1,1,5,0,1,0,0,1,0,1,1,1,1,1,0,0,6,0,0,6,1,1,0,0,3,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,3,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,24,8,0
9,1,0,0,1,1,0,5,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,1,0,1,4,6,0,1,1,0,0,0,1,0,5,1,1,0,0,4,0,0,4,1,2,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,3,0,1,0,1,1,0,1,0,8,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,24,9,0
10,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1,14,2,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,0,0,5,0,2,0,0,0,1,0,0,1,0,0,0,1,3,0,1,0,0,7,2,3,0,6,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,10,0
11,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,1,10,1,2,1,0,0,0,1,0,2,1,2,0,0,0,0,0,3,2,2,0,0,3,0,4,0,0,0,1,0,0,2,0,0,0,1,3,0,1,1,0,4,1,4,3,7,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0
12,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,5,0,1,6,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,2,0,2,2,13,1,1,1,0,0,0,2,0,1,2,1,0,0,0,0,0,4,2,4,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,1,4,0,2,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0
13,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,5,1,1,0,0,0,1,0,2,0,0,0,0,0,7,1,0,0,0,2,0,1,2,8,1,1,1,0,0,0,1,0,3,0,1,0,0,2,0,0,2,2,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,8,0,2,2,1,1,0,0,4,1,0,0,0,2,0,0,0,0,3,0,1,0,6,0,0,0,2,2,0,0,0,0,0,0,0,24,13,0
14,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,3,0,1,1,17,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,7,3,3,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,4,1,3,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,14,0
15,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,7,1,0,0,0,3,0,1,1,12,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,4,3,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,0,12,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,24,15,0
16,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,5,1,1,0,0,0,3,1,0,0,0,0,0,0,3,2,0,0,0,2,0,2,2,11,1,2,1,0,0,0,2,0,2,1,2,0,0,0,0,0,4,2,3,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2,0,7,0,2,2,1,0,0,0,4,1,0,0,0,2,0,0,0,0,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,16,0
17,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,16,2,1,2,0,0,0,1,0,1,2,1,0,0,0,0,0,5,3,3,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,0,5,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,17,0
18,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,6,1,0,0,0,3,0,1,1,13,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,3,2,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,3,0,9,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,2,0,6,0,0,0,2,2,0,0,0,0,0,0,0,24,18,0
19,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,2,0,2,2,13,1,2,2,0,0,0,2,0,2,2,2,0,0,0,0,0,5,2,4,0,0,3,0,0,0,0,0,2,0,0,2,0,0,0,1,3,0,1,0,0,4,1,2,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,24,19,0
20,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,1,17,2,1,1,0,0,0,1,0,2,1,2,0,0,0,0,0,3,4,2,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,4,0,3,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0
