,4dwm,awk,bc,be,cat,chmod,cmp,col,compress,configur,cpp,cut,date,devx11,diff,download,driver,dvips,egrep,elm,endsessi,env,ex,expr,expreser,faces,fec,fifo,file,find,finger,formatd,generic,gethost,getopt,getpgrp,getsampl,gettxt,ghostvie,grep,gs,gzip,head,help,helpfin,helpkey,helpsor,helptop,hostname,hpost,ht,id,init_src,kill,ksh,launchef,ld_,less,ln,lo,lock,lp,lpq,lpr,ls,mail,mailx,man,mediamai,mkdir,mkpts,more,nawk,neqn,netscape,netstat,nroff,perl,ping,platform,post,postprin,postreve,ppost,pq,printf,ps,pwd,randseq,reaper,resize,rlogin,rm,rmdir,rwho,sample,sed,sendmail,sh,shelpmot,showps,sleep,slmclien,slmhelpe,sort,sqpe,stty,tail,tbl,tcpostio,tcppost,tcsh,tellwm,telnet,toolches,touch,tput,tr,true,tset,twm,ul,uname,unlock,unpack,unzip,userenv,virtex,wait4wm,wc,whereis,xclock,xconfirm,xdm,xdvi,xdvirea,xfontsel,xgobi,xhost,xload,xman,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,16,5,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,6,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,25,0,0
1,2,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,7,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,2,0,0,0,0,2,0,0,2,2,2,5,0,25,1,0
2,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,5,0,0,0,0,0,0,0,0,7,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,3,0,0,0,0,1,1,0,2,3,1,5,0,25,2,0
3,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,3,0,10,0,25,3,0
4,0,0,0,0,7,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,7,2,0,3,0,0,1,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,2,0,9,0,25,4,0
5,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,10,0,0,1,0,0,0,0,0,12,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4,0,25,5,0
6,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,0,3,0,0,0,0,0,10,5,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,0,1,0,0,1,1,1,2,0,25,6,0
7,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,8,0,0,2,0,0,0,0,0,6,3,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,0,0,3,0,1,0,0,1,1,1,9,0,25,7,0
8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,20,7,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,3,0,25,8,0
9,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,2,0,0,0,0,0,4,2,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,1,0,2,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,4,0,25,9,0
