,4dwm,acroread,aout,arch,as1,awk,basename,bash,bc,cat,cfe,col,compress,cpp,csh,date,desktopm,dirname,download,driver,du,dvips,echo,egrep,endsessi,env,ex,expr,faces,false,fifo,fig2dev,file,find,finger,fm,ftp,gawk,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gp,grep,gs,gzip,hostname,hpost,id,imgview,launchef,lc,ld_,less,lks,lmstat,ln,localsq,lock,lp,lpdsend,lpr,ls,mail,mailx,make,man,maplesy,matlab,matlab_l,mc,mediamai,metamail,mimencod,mkdir,mkpts,more,nawk,nedit,neqn,netscape,netstat,nroff,nscal,nslookup,ping,post,postprin,ppost,pr,printf,ps,pwd,reaper,rlogin,rm,rmdir,sed,sendmail,sgihelp,sh,showps,sleep,sqpe,stty,tail,talk,tar,tbl,tcpostio,tcppost,tektroni,tellwm,telnet,toolches,top,touch,tr,true,ugen,ul,uname,unlock,unpack,uopt,userenv,uudecode,virtex,wait4wm,webmagic,whoami,xclock,xconfirm,xdm,xdvi,xdvirea,xemacs1,xfig,xhost,xmaplev4,xmaplev5,xprop,xrdb,xsetroot,xterm,xv,xwsh,User,Segment,Label
0,0,0,0,1,0,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,15,0,13,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,27,0,0
1,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,15,6,0,0,0,0,0,15,0,0,0,0,1,3,3,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
2,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,5,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,13,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,27,2,0
3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,10,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,2,0,2,2,0,0,3,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,24,0,9,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0
4,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,2,0,10,1,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,0,6,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,2,15,0,8,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4,0
5,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,10,1,1,1,0,0,0,1,0,0,3,0,1,0,4,0,0,0,0,0,2,0,2,2,0,0,8,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1,2,9,0,6,0,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,0
6,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,9,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,14,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,2,6,0,2,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,6,0
7,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,0,2,0,0,3,0,2,2,0,0,0,0,14,1,2,2,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,3,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,0
8,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,7,0,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,19,2,2,2,0,0,0,2,1,0,2,0,2,0,0,0,0,0,0,0,4,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,0
9,0,0,0,1,0,0,0,2,0,7,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,1,0,2,0,0,0,4,3,0,0,0,3,0,0,1,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,3,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,27,9,0
