,11,12,13,4dwm,9term,acroread,amachec,ar,as1,awk,basename,bc,cal,calldd,cat,cfe,chmod,col,compress,configur,cpio,cpp,crypt,date,ddtest,df,dirname,dohourl,download,driver,du,echo,endsessi,env,ex,expr,faces,fifo,fig2dev,file,find,ftp,generic,getans,gethost,getopt,getpgrp,gettxt,ghostvie,gre,grep,gs,gzip,heartche,hostname,hpost,hype,id,ksh,launchef,ld_,less,lks,ln,lock,lp,ls,mail,mailx,make,man,maplesy,mediamai,metamail,mimencod,mkdir,mkpts,more,mosaic,moviepla,nawk,neqn,netscape,netstat,nohup,nroff,nscal,perl,ping,popper,post,postprin,ppost,pq,printf,ps,rcp,reaper,rlogin,rm,rmdir,rsh,rshd,rup,sam,samterm,sed,sendmail,sh,showprod,showps,sleep,sort,strings,stty,sysinfo,tail,tar,tbl,tcpostio,tcppost,tellwm,telnet,test,toolches,touch,tput,tr,tracerou,true,ugen,ul,uname,unlock,unpack,unzip,userenv,wait4wm,whereis,xclock,xconfirm,xdm,xfig,xhost,xman,xmaplev5,xprop,xrdb,xrn,xsetroot,xt,xterm,xv,User,Segment,Label
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,3,0,3,0,5,0,29,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,22,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,29,1,0
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,2,0,0,1,5,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,1,0,0,0,0,0,5,0,0,0,0,1,0,0,1,1,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,2,1,0,1,0,0,1,1,0,1,0,3,0,29,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,7,6,0,0,0,7,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,4,0,0,0,0,1,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,3,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,33,3,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,8,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19,1,0,0,1,0,0,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,4,0,29,5,0
6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,0,4,0,0,2,1,0,0,0,1,0,0,0,2,1,0,2,2,0,0,0,0,2,2,3,20,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,12,0,0,0,0,0,0,12,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,6,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,33,0,0,2,0,0,0,0,2,0,0,0,2,0,0,2,1,0,0,0,0,0,0,2,18,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,1,2,0,19,0,0,2,0,0,0,0,3,0,0,0,2,0,0,2,1,2,0,0,0,0,0,3,7,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,6,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,8,0
9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,1,2,0,18,0,2,2,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9,0
