,4dwm,arch,awk,bc,cat,cled,cled_jct,compress,cpp,csh,date,dirname,download,dvipost,dvips,echo,egrep,emacs20,endsessi,env,expr,fifo,file,find,finger,gawk,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,hostname,hpost,id,ispell,kill,launchef,lks,lmstat,ln,lock,lp,ls,mail,mailx,maketexp,maplesy,matlab,matlab_l,mediamai,mkdir,mkpts,more,movemail,nawk,netscape,netstat,platform,post,postprin,ppost,pq,pr,ps,pwd,reaper,resize,rlogin,rm,rmdir,sed,sendmail,sh,sleep,slmclien,slmhelpe,sqpe,stty,tcpostio,tcppost,tellwm,telnet,test,toolches,touch,tput,true,tset,uname,unlock,userenv,virtex,wait4wm,xbiff,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xmaplev5,xprop,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,1,1,8,0,0,0,2,0,4,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,6,1,1,1,0,0,1,0,2,1,1,0,0,2,0,0,2,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,0,1,0,0,1,0,0,1,0,2,0,12,0,0,0,0,3,0,0,0,0,1,0,1,0,2,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0
1,0,0,1,1,8,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,13,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,5,2,4,0,9,0,0,0,0,0,8,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
2,0,0,1,1,6,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,7,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,1,0,2,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
3,0,0,1,1,8,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,13,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,3,0,3,0,14,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0
4,0,0,1,1,8,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,12,1,2,1,0,0,2,0,2,1,2,0,0,0,0,0,2,3,3,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,3,0,2,0,0,0,0,0,4,2,3,0,7,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
5,0,0,2,2,11,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,12,1,1,2,0,0,1,0,1,2,1,0,0,0,0,0,4,3,3,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,6,0,1,0,0,0,0,0,4,1,4,0,6,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
6,0,0,1,1,8,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,3,1,1,0,0,13,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,3,1,4,0,11,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
7,0,0,1,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,7,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,3,1,2,3,23,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0
8,0,0,1,1,8,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,2,1,1,0,0,13,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,3,0,14,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
9,0,0,1,1,8,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,14,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,2,3,2,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,0,0,5,2,4,0,8,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
