,ar,as1,autoconf,awk,bc,be,bibtex,cat,cfe,chmod,cmp,col,concorde,configg,configs,configur,conftest,cpp,date,download,driver,dvips,egrep,emacs20,endsessi,env,ex,expr,fec,fifo,file,find,finger,frm,ftp,ftporig,generic,gethost,getopt,getpgrp,gettxt,ghostvie,gmake,grep,gs,gzip,head,hostname,hpost,id,inline,ksh,ld64_,ld_,less,ln,lock,lp,lporig,ls,m4,mailx,make,man,maplesy,mapletty,mkdir,mkpts,more,movemail,nawk,netscape,netstat,post,postprin,ppost,pq,ps,reaper,rlogin,rm,rmdir,scp,sed,sendmail,sh,sleep,slogin,ssh,sshadd,sshagen,sshkeyg,strings,stty,tail,tar,tcpostio,tcppost,tcsh,tel,tellwm,telnet,test,touch,tput,tr,true,twm,ugen,ul,uname,unlock,unpack,uopt,userenv,virtex,wait4wm,whereis,which,xauth,xclock,xdm,xemacs1,xmodmap,xprop,xrdb,xsessio,xset,xterm,User,Segment,Label
0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,10,0,0,0,0,0,0,0,21,0,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,3,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,30,0,0
1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,2,4,1,0,0,0,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,0,1,1,0,2,0,2,2,2,3,30,1,0
2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,9,0,0,0,5,0,0,0,4,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,2,2,1,0,0,0,0,0,0,11,0,2,0,0,0,1,1,2,1,0,0,0,0,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,1,1,0,1,1,1,1,1,3,30,2,0
3,3,3,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,3,1,0,1,0,4,0,1,1,0,1,1,1,1,1,3,30,3,0
4,21,2,0,0,0,8,0,0,3,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0
5,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0
6,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0
7,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0
8,50,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0
9,23,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,0,11,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,3,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,30,9,0
10,0,0,2,0,0,0,0,0,0,1,0,0,0,3,5,3,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,1,0,1,9,1,0,0,0,4,0,0,2,4,0,2,8,0,2,0,2,2,1,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,30,10,0
11,0,0,0,0,0,5,0,10,1,0,0,0,0,0,2,39,0,0,0,0,6,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,11,0
12,0,0,0,0,0,3,0,13,7,0,0,0,0,0,0,33,2,0,0,0,10,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,12,0
