,aout,ar,as,as1,awk,cat,cc1,cfe,chmod,col,compress,cpp,cut,date,ddd,devmoti,devpost,doc2ps,driver,dvips,echo,efm,egrep,emacs20,ex,expr,field,fifo,find,finger,formatd,frm,ftp,gcc,gdb,generic,getopt,ghostvie,grep,gs,gv,head,help,hostname,ht,id,imake,ld,ld_,less,ln,lp,ls,mail,mailbox,make,man,mediamai,metamail,mimencod,mkdir,mkpts,more,movemail,nawk,neqn,nm,nroff,platform,ps,pwd,resize,rlogin,rm,rmdir,rsh,sed,sendmail,sgihelp,sh,slmclien,slmhelpe,sort,sqpe,stty,tail,tar,tbl,tcsh,test,top,touch,tput,tr,true,tset,twoprint,ugen,uname,uniq,unpack,uopt,virtex,wc,whereis,who,whois,xbiff,xemacs1,xlbiff,xmkmf,xrdb,xterm,zip,User,Segment,Label
0,0,0,0,5,0,1,0,5,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,5,0,8,0,0,0,0,0,0,0,1,0,0,31,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,31,1,0
2,0,0,0,3,0,0,0,3,0,0,0,0,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,31,2,0
3,0,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,0,31,3,0
4,0,0,0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,14,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0
5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,0,0,49,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,0
7,0,0,0,1,0,0,0,1,0,0,0,0,0,22,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,2,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,31,7,0
8,0,0,0,2,0,0,0,2,0,0,0,0,0,25,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,31,8,0
9,0,0,9,0,0,1,10,0,0,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31,9,0
10,0,0,3,0,0,1,3,0,0,0,0,4,0,15,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,3,1,0,0,0,0,21,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,31,10,0
11,0,0,4,0,0,1,5,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,3,1,0,0,0,0,19,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,31,11,0
12,0,0,9,0,0,0,9,0,0,0,0,9,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,12,0
13,0,0,0,1,0,0,0,4,0,0,0,0,0,26,1,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,31,13,0
14,0,0,0,2,0,0,0,2,0,0,0,0,0,27,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,31,14,0
15,0,0,4,1,0,0,4,1,0,0,0,4,0,21,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,1,5,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,31,15,0
16,0,0,8,0,0,1,8,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,9,0,1,0,0,0,0,0,0,2,1,0,0,0,0,9,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,31,16,0
17,0,0,0,13,0,0,0,13,0,0,0,0,0,5,1,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,17,0
18,0,0,0,3,0,0,0,5,0,0,0,0,0,22,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,31,18,0
19,0,0,0,4,0,0,0,4,0,2,0,0,0,12,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,4,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,31,19,0
