,4dwm,aout,as,as1,awk,basename,bc,cat,cc1,cfe,chmod,col,compress,cpp,date,detex,dialogs,download,driver,du,dvips,env,ex,expr,exrecove,fifo,fig2dev,file,find,finger,ftp,gcc,generic,gethost,getopt,getpgrp,ghostvie,gr_top,grep,gs,gzip,hostname,hpost,id,kill,launchef,ld,ld_,less,ln,lock,lp,ls,mail,mailx,man,mediamai,metamail,mimencod,mkdir,mkpts,more,nawk,neqn,netscape,netstat,nm,nroff,pdf2ps,post,postprin,ppost,pq,pwd,reaper,rlogin,rm,rmail,rmdir,sed,sendmail,sh,showps,sleep,sort,spell,sprog,ssplay,stty,tail,talk,tar,tbl,tcpostio,tcppost,tcsh,telnet,test,toolches,touch,tput,tr,true,tset,ugen,ul,uname,unlock,unpack,userenv,uuname,virtex,wait4wm,whoami,xcalc,xcalenda,xconfirm,xdm,xfig,xhost,xrdb,xsetroot,xterm,User,Segment,Label
0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,3,0,0,1,0,0,2,1,4,1,0,1,0,1,1,0,0,0,6,1,1,1,2,0,1,2,0,2,0,1,1,0,0,0,0,2,1,2,3,7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,6,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,4,2,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,1,2,1,0,32,0,0
1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,0,14,1,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,2,3,2,4,4,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,2,6,4,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,2,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0
2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,1,0,0,0,1,1,0,0,0,4,0,1,1,3,0,1,4,0,1,0,1,0,0,0,0,0,2,2,2,0,13,5,0,2,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32,2,0
3,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,1,1,0,0,0,10,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,2,2,2,3,3,15,0,0,0,0,1,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,13,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0
4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,3,0,9,1,0,1,0,1,1,0,0,0,6,1,1,1,3,0,1,3,0,1,0,1,0,0,0,0,0,2,1,2,2,6,8,0,0,0,0,1,0,6,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32,4,0
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,4,1,13,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0
6,0,0,0,0,1,0,1,7,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4,1,0,1,0,1,1,0,0,0,7,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,2,1,6,4,0,0,0,0,1,0,8,1,0,0,0,0,0,0,0,1,3,2,0,0,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,4,0,8,0,0,0,1,6,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,6,0
7,0,0,0,0,1,0,1,6,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,1,0,3,0,1,1,0,0,0,13,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,3,2,5,3,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,3,2,0,0,0,5,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,17,12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,32,8,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,6,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,3,13,3,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,9,0
10,0,0,0,0,3,0,0,8,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,3,0,2,0,3,2,0,0,0,17,2,2,2,0,0,2,0,0,2,0,2,0,0,0,0,0,4,3,4,3,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,10,0
11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,5,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,2,3,8,6,0,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,6,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,8,16,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,8,21,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,13,0
14,0,0,0,0,1,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6,1,1,1,3,0,1,3,0,1,0,1,0,0,0,0,0,2,1,2,3,9,6,0,0,0,0,1,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,0
15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,2,15,6,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,19,8,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,15,0
16,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,16,0
17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,8,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,17,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,18,0
19,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,1,1,1,0,0,10,1,1,1,4,0,1,3,0,1,0,1,0,0,0,0,0,2,2,2,3,4,4,0,0,0,0,1,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,2,10,1,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,19,0
20,0,0,0,0,1,0,0,4,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,2,0,1,2,0,0,0,10,1,2,1,6,0,2,6,0,2,0,2,0,0,0,0,0,2,2,3,4,5,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,0,3,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,0
21,0,0,0,0,1,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,1,0,1,2,2,0,0,8,1,2,1,2,0,2,2,0,2,0,2,0,0,0,0,0,2,1,3,1,10,5,0,0,0,0,1,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,21,0
22,0,0,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,3,2,0,0,0,14,0,2,3,1,0,2,1,0,2,0,2,0,0,0,0,0,6,6,5,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,0
23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,2,0,4,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,0
24,0,0,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,4,0,0,1,0,0,0,26,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0
