,4dwm,acroread,arch,awk,basename,cal,cat,chmod,co,col,convert,cpp,csh,date,detex,dirname,download,drf,dvipost,dvips,egrep,emacs20,endsessi,env,ex,expr,faces,false,fifo,file,find,finger,ftp,gawk,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gsftopk,gzip,hexbin,hostname,hpost,id,java,java_wr,javac,jot,kill,ksh,launchef,lmstat,ln,lock,lp,lpdsend,lpq,lpr,ls,mail,maketexp,man,matlab,matlab_l,mediamai,metamail,mimencod,mkdir,mkpts,more,mp,nawk,neqn,netscape,netstat,nroff,ping,popper,post,pq,ps,pwd,quota,reaper,richtext,rlogin,rm,rmdir,sed,sendmail,sgihelp,sh,shownona,showps,sleep,sort,spell,sprog,stty,tail,talk,tbl,tcpostio,tcppost,tcsh,tektroni,telnet,test,toolches,touch,tput,tr,true,ul,uname,unlock,unpack,userenv,uudecode,virtex,wait4wm,webmagic,whoami,whois,xconfirm,xdm,xdvi,xdvirea,xhost,xloadima,xrdb,xsession,xsetroot,xterm,User,Segment,Label
0,2,0,0,0,0,0,4,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,2,0,2,1,34,0,0
1,0,0,0,0,0,0,4,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,5,2,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,34,1,0
2,1,0,0,1,0,0,2,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,1,0,0,0,0,1,0,2,0,0,4,0,0,0,1,4,0,0,4,0,0,4,0,0,2,3,0,0,0,1,0,0,3,0,4,6,0,14,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,34,2,0
3,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,4,0,0,1,0,0,0,1,4,0,0,8,5,1,8,0,0,0,9,0,0,0,0,0,0,1,0,8,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,34,3,0
4,1,0,0,0,0,0,4,0,0,2,0,1,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,16,0,0,2,0,0,2,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,2,0,1,0,2,1,34,4,0
5,0,0,0,1,0,0,6,0,0,2,0,0,1,4,0,0,1,0,0,0,0,5,0,0,0,1,0,0,2,1,1,0,0,0,10,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,5,0,0,4,0,0,0,0,0,1,0,2,0,1,4,0,0,4,0,0,2,0,0,0,0,0,0,0,4,1,6,0,0,3,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5,0
6,1,0,0,0,0,0,1,0,0,2,1,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,2,0,0,7,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,15,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,34,6,0
7,2,0,0,0,0,0,2,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,7,2,0,0,0,0,8,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,3,0,0,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,2,0,1,1,34,7,0
8,1,0,0,0,0,0,2,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,3,2,0,0,0,0,1,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,29,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,4,1,0,0,1,0,0,0,1,1,34,8,0
9,2,0,0,0,0,0,5,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,3,1,2,2,34,9,0
