,4dwm,acroread,awk,basename,bc,cancel,cat,chkconfi,chmod,col,compress,convert,cpp,date,dirname,dopriso,download,drf,du,dvips,echo,egrep,emacs20,endsessi,env,ex,expr,fgrep,fifo,file,find,finger,ftp,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,gzip,help2,hostname,hpost,id,launchef,lc,ln,lock,lp,lpq,ls,mailp,mailx,man,mc,mediamai,metamail,mimencod,mkdir,mkpts,more,mp,nawk,neqn,netscape,netstat,news,nroff,nslookup,opnet,perl,popper,post,postprin,ppost,pq,pr,ps,reaper,richtext,rlogin,rm,rmdir,rshd,run_swin,sed,sendmail,sgihelp,sh,shownona,showps,sleep,sort,spell,splitmai,sprog,stty,su,tail,tar,tbl,tcpostio,tcppost,tellwm,telnet,test,toolches,top,touch,tr,true,tset,ul,uname,unlock,unpack,userenv,vim,virtex,wait4wm,wc,webify,webmagic,who,whoami,xcalenda,xconfirm,xdm,xhost,xprop,xrdb,xsetroot,xterm,zip,User,Segment,Label
0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,8,8,0,4,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,2,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,16,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0
5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,6,0,3,1,0,8,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,35,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0
6,0,0,1,0,1,0,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,9,0,0,0,2,0,1,1,2,0,0,7,1,2,1,0,3,2,3,0,0,2,1,2,0,0,2,1,3,0,3,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,1,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,0
7,0,0,1,0,1,0,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,13,1,0,1,0,2,0,2,0,0,0,1,0,0,0,2,3,1,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,1,0,0,2,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,7,0
8,0,0,1,0,0,0,1,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,0,7,0,0,1,0,4,0,0,0,16,1,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,21,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,8,0
9,0,0,1,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,1,3,1,3,0,1,0,0,0,1,0,0,0,1,1,1,0,0,5,0,2,0,8,0,0,0,0,1,0,0,1,0,4,0,1,0,27,1,0,0,0,0,0,0,0,1,3,8,0,0,0,0,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0
