,4dwm,9term,acroread,aout,appdefpa,as,as1,awk,basename,bc,cal,cat,cc1,cfe,chmod,col,cpp,csh,cut,date,dirname,download,driver,dvips,echo,elm,emacs20,endsessi,env,ex,expr,expreser,faces,fifo,file,find,finger,ftp,gcc,generic,gethost,getopt,getpgrp,gettxt,ghostvie,grep,gs,hostname,hpost,id,ispell,ksh,last,launchef,lc,ld,ld_,lks,ln,lock,lp,lpdsend,lpq,lpr,ls,mail,mailp,mailx,make,man,maplesy,mapletty,mc,mediamai,metamail,mkdir,mkpts,more,mp,mplotcha,mywsh,nawk,neqn,netscape,netstat,news,nm,nroff,nslookup,od,passwd,pine,post,postprin,ppost,ps,reaper,red,rlogin,rm,rmdir,rsh,sed,sendmail,sgo,sh,shownona,showps,sleep,stty,tail,tbl,tcpostio,tcppost,tektroni,tellwm,telnet,test,toolches,touch,tput,tr,true,ugen,ul,uname,unlock,unpack,uopt,userenv,uuname,virtex,wait4wm,what,which,whoami,xclock,xconfirm,xdm,xdvi,xdvirea,xhost,xmag,xman,xmaplev5,xprop,xrdb,xset,xsetroot,xterm,xwsh,User,Segment,Label
0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,1,0,8,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,6,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,1,0,0,2,0,0,0,1,2,0,2,3,0,37,0,0
1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,4,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,2,2,0,0,2,0,0,0,2,3,0,2,4,0,37,1,0
2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,4,1,1,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,0,2,1,0,2,2,1,1,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,37,2,0
3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,7,2,2,7,3,0,0,0,7,0,4,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,2,0,1,2,2,0,0,1,0,0,0,2,1,0,1,5,0,37,3,0
4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,2,0,0,2,0,0,0,2,2,0,2,2,0,37,4,0
5,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,4,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0,2,4,0,37,5,0
6,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6,0
7,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,7,0
8,0,0,0,11,0,6,0,0,0,0,0,2,6,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,8,0,4,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,8,0
9,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,0,0,0,1,3,0,0,0,0,0,13,0,0,0,0,0,18,2,0,1,0,1,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37,9,0
