,ar,as1,basename,bash,call_fil,cat,cfe,chmod,cmp,col,configg,configs,configur,cpp,cut,data_cl,date,detail_o,dirname,driver,egrep,elm,env,ex,expr,find,finger,fmt,frm,gmake,gre,grep,hostname,java,java_wr,kill,ksh,launchef,ld_,list2pl,listpl,ln,long,ls,mail,man,mediamai,mkdir,mkpts,more,msort,nawk,netscape,netstat,ntrimin,overlap,overlap2,popper,pq,print_ca,ps,reaper,resize,rlogin,rm,rmdir,sed,seecalls,sendmail,sh,showcal,sort,stream_t,stty,tcsh,test2pl,tester,testpl,top,touch,tr,tset,ugen,ul,uname,unpack,userenv,vim,wait4wm,wc,xcalc,xcalenda,xdpyinfo,xhost,xrdb,xsetroot,xterm,xwsh,User,Segment,Label
0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,0,1,0,4,0,0,0,0,0,2,2,0,5,0,1,0,0,0,14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,11,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,0,0,39,0,0
1,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,13,2,0,0,0,0,2,0,1,0,0,0,10,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,0,0,3,0,4,2,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
2,0,7,0,0,1,6,14,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0,3,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,3,0,1,1,0,12,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0
3,0,2,0,0,4,7,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,7,5,0,15,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,1,0,5,6,0,19,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0
4,0,5,0,0,3,13,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,2,1,0,0,6,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,3,3,0,16,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0
5,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0
6,0,0,0,0,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,1,0,3,0,0,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0
7,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,7,0
8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0
9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0
